Type,Country,State,Activity,Sex,Age,Fatal Y/N,Month,Year,Species,Body Part
Provoked,United States,Florida,Fishing,M,,No,July,2022,Lemon Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Unknown,F,40,No,July,2022,Caribbean Reef Shark,Leg / Foot
Unprovoked,United States,New York,Unknown,M,49,No,July,2022,Unknown,Arm
Unprovoked,United States,New York,Surfing,M,41,No,July,2022,Tiger Shark,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,,No,July,2022,Great White Shark,Leg / Foot
Unprovoked,United States,New York,Other,M,17,No,July,2022,Unknown,Leg / Foot
Unprovoked,Japan,Okinawa,Diving,M,60,Yes,July,2022,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,28,No,July,2022,Unknown,Leg / Foot
Unprovoked,United States,New York,Other,M,,No,July,2022,Great White Shark,Hand / Fingers
Unprovoked,Indonesia,Bali,Surfing,F,,No,July,2022,Unknown,Leg / Foot
Unprovoked,Egypt,"Hurghada, Red Sea Governorate",Diving,F,,Yes,July,2022,Tiger Shark,Unspecified / Multiple
Unprovoked,Egypt,"Hurghada, Red Sea Governorate",Swimming,F,68,Yes,July,2022,Tiger Shark,Unspecified / Multiple
Unprovoked,United States,New York,Swimming,M,,No,June,2022,Unknown,Leg / Foot
Unprovoked,United States,Florida,Boating,F,17,No,June,2022,Great White Shark,Leg / Foot
Unprovoked,United States,Florida,Swimming,F,35,No,June,2022,Unknown,Leg / Foot
Unprovoked,United States,Florida,Other,M,,No,June,2022,Unknown,Leg / Foot
Unprovoked,South Africa,Western Cape Province,Swimming,M,,Yes,June,2022,Whale Shark,Unspecified / Multiple
Unprovoked,Jamaica,,Fishing,M,,No,June,2022,Tiger Shark,Arm
Unprovoked,United States,Florida,Unknown,F,,No,June,2022,Unknown,Leg / Foot
Unprovoked,United States,California,Swimming,M,62,No,June,2022,Great White Shark,Leg / Foot
Unprovoked,United States,South Carolina,Unknown,M,,No,June,2022,Unknown,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Swimming,F,,No,June,2022,Unknown,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Surfing,,,No,May,2022,Bronze Whaler Shark,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Diving,M,20,No,May,2022,Bull Shark,Unspecified / Multiple
Provoked,Belize,Ambergris Cay,Fishing,M,,No,May,2022,Great White Shark,Arm
Unprovoked,Maldives,,Fishing,M,62,No,May,2022,Unknown,Unspecified / Multiple
Unprovoked,French Polynesia,Bora Bora,Unknown,,,No,May,2022,Unknown,Hand / Fingers
Provoked,United States,Georgia,Fishing,M,,No,May,2022,Blacktip Shark,Unspecified / Multiple
Unprovoked,Thailand,Phuket,Swimming,M,8,No,May,2022,Great White Shark,Leg / Foot
Unprovoked,French Polynesia,Tahiti,Unknown,M,22,No,April,2022,Tiger Shark,Unspecified / Multiple
Unprovoked,Australia,,Swimming,M,32,No,April,2022,Unknown,Unspecified / Multiple
Unprovoked,United States,Florida,Unknown,M,56,No,April,2022,Unknown,Leg / Foot
